"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Arl4d",0.205316501257508,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.187911396880408,0.132725437031651,-0.128310884246519,0.316876266054157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Sez6l2",0.204918973266892,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.184575062041711,0.331634278810147,-0.0598394799743063,0.787259957489167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Vcan",0,0.203539169311669,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.508702447417688,7.49762029555513e-19,1.40835129781124,1.14651706714022e-96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","13","controlled","descriptive_n1_sex_confounded_depth_matched"
"S100a11",-0.198096298245889,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.356394529269316,1.52851908122666e-17,0.581682145258618,3.06492843214284e-51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ptprm",0,-0.195980475199165,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.0710303066933206,0.310319333538453,-0.393322348065837,2.00749642738827e-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Flt1",-0.193703630650669,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.442027876002872,6.68411556976322e-06,0.0415315779220148,0.86535370343066,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Prc1",-0.19118611650586,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.15696255229227,0.00654731739859753,0.920210346072364,4.73976335026762e-87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cpne5",-0.18890824713662,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.234083592560423,0.100315491666458,1.19626076179354,8.63899362591064e-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Olfr1033",-0.016295211224592,-0.187601440190315,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-0.207616917662288,1.25200508121735e-06,-0.74956620284416,1.98526687461741e-60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other",NA,"controlled","descriptive_n1_sex_confounded_depth_matched"
"Basp1",-0.185868879533764,0.0922914119026785,TRUE,TRUE,TRUE,FALSE,"down_in_KO",-0.204535666097966,0.285130664457779,0.22865201118488,0.204635718911646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","15","controlled","descriptive_n1_sex_confounded_depth_matched"
"Rrad",0.0527844686243006,-0.185012187080709,TRUE,TRUE,TRUE,FALSE,"down_in_KO",0.303008126014157,1.71809812534979e-12,-0.740415978806468,4.1843408248762e-118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Cdkn2d",0,-0.184862850651725,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0440488836187007,0.491237660511182,0.236469410453228,1.6440200316202e-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","controlled","descriptive_n1_sex_confounded_depth_matched"
"Myct1",0,-0.183662454010671,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.257605142673004,0.0429181307488023,-0.613629883548167,0.0111348751652472,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
"Mt2",-0.183499893756846,0.124056734751737,TRUE,TRUE,TRUE,FALSE,"down_in_KO",-0.926860364134137,4.97881443941531e-130,0.583338254485115,1.36460013923734e-47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ier2",0,0.183035382760432,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.126782491621906,0.0425021348177263,1.36435426550665,2.640421581791e-59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","8","controlled","descriptive_n1_sex_confounded_depth_matched"
"1700048F04Rik",-0.181425850674415,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tmod3",0.00885260496878532,0.180256805352145,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.278426103772538,2.10804888104387e-05,0.543249267508671,9.58391483967439e-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","controlled","descriptive_n1_sex_confounded_depth_matched"
"Apoe",0.179988923727879,0.129448232629898,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.460291240641467,9.01190405006126e-18,0.48508289301958,7.11315595916756e-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gadd45b",0.17813516803759,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.118182872415329,0.00758070431561569,0.0489522261995703,0.617834234552321,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","10","controlled","descriptive_n1_sex_confounded_depth_matched"
