"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Cox8b",-0.94321621220837,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.28367200858634,6.22799409168109e-243,-0.172673901180629,2.54813076232056e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"mt-Co1",0,0.925565544238885,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.415841263348222,0.000621892456114154,0.74363835113681,2.34679684750077e-38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mito","MT","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Vsig4",-0.920508093362968,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",0.00755105180646343,NA,-0.0118108100745163,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Retnlg",-0.910195071557682,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.68927318739542,6.86356899006335e-11,-0.957655958717047,0.0252659613713191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","16","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Shoc1",0.827128430739816,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0880812979883042,0.54264586779437,-0.0760385956725834,0.673208695572795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Cldn1",0.781317046581533,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.121038335660454,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","16","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm15543",-0.770972883181929,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.64068090925591,2.18488849367525e-259,-0.34018877681072,2.40925581646188e-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Rarres2",0,-0.769784979816559,FALSE,TRUE,FALSE,FALSE,"down_in_KO",1.08238173720228,1.29889106509424e-08,0.807857684549703,0.0122083669660559,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Slc44a4",0,-0.737887871456206,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.178752076658374,0.0880627213806137,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Ly6d",-0.736233691802413,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",0.0128279649873491,NA,-2.72921332742248,0.000746025624621618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","15","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Vtcn1",0,0.704815598295762,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.845300556622516,0.0161604265782536,0.18643257520355,0.378510362213953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","3","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm5934",0.700583923392167,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",NA,NA,-0.0350245630394671,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","X","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Cxcl2",-0.697667138197552,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.149555489345,7.37547200656633e-06,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Fmo1",0,-0.694348868612448,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0560948179436283,0.795844515808163,-0.181404161785358,0.295654199623519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Hes1",-0.669870610228248,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.75109101120865,0,0.143001045442674,0.0015267481366511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","16","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Cox7a1",-0.662925539478577,-0.471111410308685,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-1.23559312612358,1.90979546232721e-250,-0.275394564546602,1.57572222414348e-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm48746",0.634675614578897,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.183840478358875,0.185735106303143,-0.0846314082048287,0.523866918216241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm",NA,"naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Gm6213",0.625612864769497,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0719466288516224,NA,-0.0845112739321376,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","8","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
